,Ciudad,Condicion_laboral,Clase_edad,Usa_surgelados,Usa_dulces_surgelados,Tipo_de_crema,Tipo_de_pastel,Juicio_pastel,Compraria,Juicio_crema
191,1,1,2,1,1,4,1,5,3,5
192,1,2,3,2,2,1,1,6,4,6
193,1,1,2,2,2,1,1,6,4,5
194,1,1,3,2,2,1,1,4,4,3
195,2,2,3,2,2,1,1,5,4,6
196,1,1,3,2,2,4,1,3,1,2
197,1,2,3,2,1,1,1,3,3,2
198,1,2,1,2,1,1,1,5,3,4
199,1,1,3,2,1,1,1,5,4,5
200,1,2,2,2,1,1,1,5,5,6
201,2,1,3,2,2,4,1,3,3,3
202,2,1,3,2,2,4,1,3,2,3
203,2,1,3,2,2,4,1,6,4,6
204,2,2,2,2,2,2,1,5,4,5
205,2,2,2,2,2,2,1,4,3,3
206,2,1,3,2,2,1,1,3,1,2
207,2,2,3,1,2,1,1,6,4,5
208,2,2,1,2,2,1,1,3,1,2
209,2,2,2,1,2,1,1,4,4,5
210,2,1,3,1,2,1,1,4,3,5
211,2,2,3,2,2,1,1,4,4,4
212,2,1,3,2,2,2,1,5,1,1
213,2,2,2,1,2,2,1,3,2,2
214,2,1,3,2,2,2,1,5,1,4
215,2,1,2,2,2,2,1,5,3,4
216,2,1,3,2,2,1,1,5,5,6
217,2,2,2,2,2,1,1,6,5,5
218,2,1,3,2,2,1,1,5,4,5
219,2,1,3,1,2,4,1,3,4,7
220,1,1,1,2,2,1,1,5,4,5
221,1,1,3,2,2,1,1,6,5,5
222,1,1,2,2,2,1,1,1,1,2
223,1,1,3,2,2,4,1,2,1,2
224,1,1,2,2,2,4,1,3,2,2
225,1,2,2,2,1,2,1,5,3,5
226,1,2,3,2,2,1,1,4,4,4
227,1,1,3,2,2,1,1,1,1,1
228,1,2,1,2,1,3,1,5,4,5
229,1,2,2,2,1,1,1,6,5,6
230,1,2,1,1,2,4,1,6,4,6
231,1,2,2,2,2,3,1,4,3,2
232,1,1,1,2,1,3,1,5,5,5
233,1,2,2,2,1,4,1,4,3,2
234,1,1,3,2,1,1,1,5,4,5
235,1,1,2,2,2,3,1,2,1,2
236,1,1,1,2,2,1,1,7,2,5
237,1,2,2,2,1,1,1,1,1,2
238,1,2,1,2,2,4,1,2,1,4
239,1,2,3,2,1,4,1,5,5,4
240,1,1,3,2,2,1,1,4,4,4
241,1,2,1,2,1,3,1,5,4,5
242,2,1,3,1,1,1,1,5,4,5
243,1,1,3,2,2,4,1,5,2,4
244,1,2,1,2,1,4,1,4,5,3
245,1,1,2,2,1,1,1,4,4,3
246,2,1,3,1,2,1,1,2,1,5
247,2,1,2,2,1,1,1,5,4,5
248,2,1,3,2,1,1,1,5,3,5
249,2,1,3,2,1,1,1,7,5,5
250,2,1,1,2,2,4,1,4,3,4
251,2,2,1,2,2,3,1,6,5,5
252,2,1,2,2,1,1,1,7,5,5
253,2,2,2,2,2,2,1,7,5,7
254,2,2,1,2,2,4,1,6,4,5
255,2,1,3,1,2,1,1,6,4,5
256,2,1,2,2,2,2,1,5,4,4
257,2,1,2,2,2,1,1,4,3,4
258,2,1,1,1,2,1,1,5,4,5
259,2,2,1,2,2,1,1,5,4,5
260,2,2,2,2,2,1,1,3,3,4
261,2,1,2,1,2,1,1,5,4,5
262,2,1,3,2,1,1,1,5,4,5
263,2,2,3,2,2,1,1,5,4,3
264,2,2,1,2,2,1,1,5,4,5
265,2,1,2,2,1,1,1,5,4,6
266,2,1,2,2,1,3,1,5,4,5
267,2,1,2,2,1,1,1,6,4,5
268,2,2,2,2,1,3,1,6,4,5
269,2,1,3,2,2,1,1,5,4,5
270,2,2,3,2,1,1,1,6,5,5
271,2,1,2,2,1,1,1,6,5,5
272,2,1,1,2,2,1,1,6,5,6
273,2,1,3,2,1,2,1,6,5,5
274,2,1,2,2,1,3,1,6,5,6
275,2,1,2,2,2,4,1,4,3,4
276,2,1,3,2,2,1,1,7,5,6
277,2,2,2,2,1,1,1,4,4,4
278,2,1,3,2,1,3,1,5,5,4
279,2,2,1,2,1,1,1,3,3,4
280,2,2,3,2,2,2,1,6,4,6
281,2,2,2,2,2,4,1,4,3,3
282,2,1,3,2,2,1,1,5,4,5
283,2,1,2,2,2,1,1,5,4,5
284,2,2,3,2,2,4,1,4,4,3
285,2,2,2,2,1,2,1,4,4,3
286,2,1,2,2,1,3,1,4,3,2
287,2,2,1,2,1,1,1,4,3,4
288,2,2,1,2,2,3,1,5,4,4
289,2,1,3,2,1,3,1,4,2,6
290,2,2,2,2,2,3,1,3,2,3
291,2,1,2,2,1,2,1,5,4,4
292,2,1,2,2,1,1,1,5,4,5
293,2,1,2,2,1,1,1,5,4,3
294,2,1,2,2,2,2,1,5,5,4
295,1,2,1,2,1,1,1,2,2,2
296,1,1,3,2,2,4,1,3,1,3
297,1,2,2,2,1,3,1,3,2,3
298,1,2,2,2,1,1,1,3,3,2
299,2,1,1,2,2,1,1,3,2,3
300,1,2,2,2,2,1,1,5,4,5
301,1,2,3,1,2,1,2,6,4,4
302,1,1,3,2,2,1,2,5,4,5
303,1,1,2,2,2,4,2,4,3,3
304,1,1,2,2,2,1,2,6,4,7
305,1,1,2,2,2,4,2,6,4,5
306,1,2,2,2,2,4,2,5,4,5
307,2,2,3,2,2,1,2,4,3,4
308,1,1,2,1,2,4,2,5,4,5
309,1,1,2,2,1,1,2,5,4,5
310,2,1,2,2,1,4,2,6,4,7
311,2,2,3,2,1,1,2,6,5,6
312,2,2,2,2,2,4,2,6,4,6
313,2,1,3,2,1,3,2,7,5,7
314,2,2,2,1,2,1,2,6,4,6
315,2,1,1,2,2,1,2,5,4,4
316,2,2,2,2,2,1,2,7,5,6
317,2,1,2,2,1,2,2,5,2,4
318,2,1,3,2,2,3,2,5,4,5
319,1,1,3,2,2,1,2,5,5,4
320,2,1,1,2,1,3,2,5,4,5
321,1,1,3,2,2,1,2,4,4,5
322,1,2,2,1,1,4,2,6,5,7
323,1,1,2,2,1,3,2,6,4,5
324,1,2,1,2,2,1,2,5,4,3
325,1,1,3,2,2,3,2,5,4,5
326,1,2,3,2,2,4,2,5,4,4
327,1,2,2,2,2,4,2,5,4,5
328,1,1,3,2,2,1,2,5,4,5
329,1,1,2,2,2,1,2,5,4,5
330,1,2,2,2,2,1,2,4,3,5
331,1,1,3,2,1,4,2,5,4,4
332,2,2,3,2,1,1,2,5,4,4
333,2,1,3,2,1,1,2,6,5,5
334,2,1,2,2,2,2,2,6,5,7
335,1,2,2,2,1,1,2,4,2,3
336,1,2,2,2,2,1,2,5,3,5
337,1,1,3,2,1,3,2,5,4,5
338,1,1,3,2,2,3,2,4,3,3
339,1,2,1,2,2,1,2,6,5,5
340,2,2,3,2,1,1,2,4,2,5
341,2,1,3,2,1,1,2,5,5,5
342,2,1,3,2,1,1,2,6,5,6
343,1,2,1,2,1,4,2,4,3,5
344,1,2,2,2,1,1,2,5,4,5
345,1,2,1,2,2,4,2,3,3,3
346,1,1,1,2,1,1,2,5,4,5
347,1,1,3,2,2,1,2,5,4,5
348,1,2,3,2,2,1,2,4,4,3
349,2,2,1,2,2,1,2,5,5,7
350,2,2,1,2,1,1,2,7,5,6
351,2,1,3,2,2,1,2,5,4,5
352,1,1,3,1,2,4,2,3,3,2
353,2,1,3,2,2,1,2,4,1,5
354,1,2,2,2,2,4,2,3,1,4
355,1,2,1,2,2,3,2,5,4,5
356,1,2,2,2,1,4,2,5,3,4
357,1,2,1,2,2,1,2,4,3,3
358,2,2,1,2,2,1,2,5,4,5
359,2,1,1,2,1,3,2,6,5,6
360,2,1,2,2,1,3,2,6,5,5
361,1,2,3,1,2,4,2,5,5,5
362,1,2,3,2,1,4,2,4,5,5
363,1,2,3,2,2,1,2,7,5,7
364,1,2,3,2,2,1,2,4,4,5
365,1,2,2,2,2,3,2,5,4,4
366,1,2,2,2,2,1,2,3,2,4
367,2,1,3,2,2,1,2,5,3,5
368,1,1,3,2,2,1,2,7,5,6
369,1,1,3,2,1,1,2,6,5,5
370,2,2,2,2,1,2,2,5,4,4
371,1,2,1,2,1,4,2,5,2,5
372,1,2,2,1,2,4,2,5,5,4
373,1,2,2,1,1,1,2,5,4,5
374,1,1,2,2,2,1,2,6,5,6
375,1,2,2,2,1,1,2,6,5,5
376,2,1,2,2,1,1,2,4,4,3
377,1,2,1,1,2,2,2,3,2,3
378,2,1,3,2,1,1,2,6,5,6
379,1,2,2,2,2,1,2,3,3,2
380,1,1,3,2,2,1,2,6,4,6
381,1,1,3,2,2,4,2,7,5,7
382,1,1,3,2,2,4,2,5,4,6
383,1,2,2,2,2,1,2,2,1,2
384,1,2,2,2,2,1,2,5,4,4
385,1,2,3,1,1,1,2,6,4,5
386,1,1,2,2,2,4,2,7,5,5
387,1,1,3,1,2,1,2,5,5,5
388,1,2,2,2,2,4,2,7,5,7
389,1,1,3,2,1,3,2,5,3,5
390,1,2,3,2,2,1,2,4,4,4
391,1,1,3,2,2,3,2,4,3,3
392,1,1,3,2,2,3,2,5,4,5
393,1,2,1,2,2,1,2,5,3,4
394,1,2,1,2,2,4,2,5,3,5
395,1,2,3,1,2,1,2,5,4,4
396,2,1,3,2,2,3,2,5,4,4
397,1,2,2,2,1,4,2,4,4,5
398,2,1,2,2,2,2,2,5,4,4
399,2,2,3,2,1,1,2,5,4,6
400,1,2,2,2,2,3,2,4,3,4
401,2,1,3,2,2,4,3,7,4,7
402,2,1,3,2,2,4,3,4,4,4
403,2,2,3,2,2,4,3,6,4,6
404,2,2,2,2,2,2,3,5,4,4
405,2,1,3,1,2,1,3,7,5,7
406,2,1,3,2,2,1,3,5,4,6
407,2,1,3,1,2,1,3,5,5,7
408,2,1,3,2,2,2,3,6,5,5
409,2,1,3,2,2,1,3,5,4,5
410,2,2,3,2,2,2,3,5,1,4
411,1,2,3,2,2,1,3,5,5,4
412,1,2,2,2,2,1,3,4,1,2
413,1,1,2,2,1,1,3,5,3,4
414,1,1,3,2,2,4,3,6,4,5
415,1,2,2,2,1,3,3,5,3,4
416,2,1,3,1,2,1,3,4,2,4
417,2,1,3,2,1,1,3,5,4,4
418,2,1,3,1,1,1,3,6,4,6
419,2,1,2,2,1,1,3,6,5,5
420,2,1,3,2,1,1,3,5,3,5
421,2,1,2,2,2,3,3,2,2,4
422,2,2,2,2,2,2,3,3,1,6
423,2,2,2,2,2,2,3,3,1,1
424,2,1,2,1,2,1,3,3,3,2
425,2,2,2,2,2,1,3,3,3,3
426,2,1,3,2,2,1,3,3,2,2
427,2,2,3,2,2,4,3,2,2,2
428,1,2,2,2,2,1,3,4,4,5
429,1,1,3,2,1,4,3,4,3,3
430,1,1,3,2,2,1,3,4,3,3
431,1,2,3,2,1,3,3,5,4,5
432,1,1,3,2,1,1,3,7,5,7
433,1,1,1,1,2,4,3,6,5,5
434,1,1,1,2,1,3,3,5,5,5
435,1,2,2,2,2,3,3,7,5,6
436,1,2,3,2,2,1,3,4,3,4
437,1,1,3,2,2,1,3,4,1,2
438,1,2,1,2,2,1,3,4,4,3
439,1,2,1,2,1,3,3,5,4,6
440,1,2,2,2,1,1,3,5,4,5
